frame_id,track_id,class_id,class_name,cx,cy,x1,y1,x2,y2,confidence,crossed
62,1,3,car,940,759,833,714,1048,804,0.7764,False
62,63,9,motor,148,901,68,782,228,1021,0.4451,False
63,4,3,car,1345,757,1214,701,1477,813,0.7954,False
63,21,3,car,481,755,226,657,736,854,0.3185,False
63,1,3,car,926,760,819,716,1033,804,0.7333,False
64,4,3,car,1360,757,1228,700,1493,814,0.8025,False
64,1,3,car,915,759,809,716,1022,803,0.7314,False
64,63,9,motor,158,902,77,789,239,1016,0.3428,False
65,4,3,car,1375,757,1243,700,1508,814,0.8006,False
65,1,3,car,914,760,812,718,1017,803,0.7701,False
65,63,9,motor,180,922,111,834,249,1011,0.5576,False
65,21,3,car,511,753,266,657,756,849,0.3128,False
66,4,3,car,1390,758,1259,702,1522,815,0.7775,False
66,1,3,car,906,762,803,719,1010,805,0.6421,False
66,63,9,motor,194,929,129,850,260,1008,0.5139,False
67,4,3,car,1406,757,1275,701,1537,814,0.7988,False
67,1,3,car,895,762,791,718,1000,806,0.5578,False
67,63,9,motor,203,924,133,843,273,1005,0.6037,False
67,21,3,car,583,753,344,659,823,847,0.2650,False
68,4,3,car,1424,758,1294,702,1554,814,0.7997,False
68,63,9,motor,209,919,135,835,284,1004,0.4957,False
69,4,3,car,1437,755,1303,697,1572,813,0.8038,False
69,63,9,motor,212,918,136,835,288,1001,0.2877,False
69,21,3,car,655,762,430,677,880,847,0.4041,False
70,4,3,car,1450,758,1320,702,1580,814,0.8205,False
70,71,0,pedestrian,271,767,256,734,287,800,0.3752,False
70,21,3,car,683,760,452,674,914,846,0.4980,False
71,4,3,car,1466,759,1339,704,1593,815,0.8115,False
71,71,0,pedestrian,273,767,257,733,289,801,0.3113,False
71,21,3,car,705,765,482,684,928,846,0.5958,False
71,63,9,motor,244,925,177,855,311,996,0.3209,False
72,4,3,car,1480,759,1352,704,1609,815,0.7707,False
72,71,0,pedestrian,274,766,259,733,290,799,0.3341,False
72,21,3,car,719,763,496,683,943,844,0.6023,False
72,63,9,motor,238,916,163,838,314,994,0.3553,False
73,4,3,car,1496,760,1370,705,1623,815,0.8000,False
73,21,3,car,742,766,521,688,963,844,0.6493,False
73,63,9,motor,246,917,174,843,318,992,0.3787,False
74,4,3,car,1512,761,1387,707,1637,815,0.7802,False
74,21,3,car,737,767,524,692,951,843,0.4601,False
74,80,2,bicycle,166,780,144,745,189,816,0.4177,False
74,71,0,pedestrian,279,766,265,735,294,797,0.2909,False
75,4,3,car,1527,761,1404,708,1651,815,0.8112,False
75,71,0,pedestrian,280,764,266,734,294,795,0.2846,False
76,4,3,car,1543,762,1422,710,1665,815,0.7973,False
76,71,0,pedestrian,280,764,266,734,294,795,0.2725,False
76,85,3,car,924,774,794,721,1054,828,0.4541,False
76,21,3,car,746,773,558,706,934,840,0.6622,False
77,4,3,car,1557,763,1434,710,1680,816,0.7906,False
77,21,3,car,791,774,605,709,977,840,0.6949,True
77,2,3,car,566,769,458,720,675,818,0.4717,True
77,80,2,bicycle,168,784,148,752,189,817,0.2725,False
78,4,3,car,1573,764,1453,712,1694,816,0.7798,False
78,21,3,car,794,773,607,708,982,839,0.6109,False
78,2,3,car,554,770,445,721,663,819,0.5843,False
79,4,3,car,1588,764,1469,713,1708,816,0.6697,False
79,21,3,car,836,773,643,707,1029,839,0.6495,False
79,2,3,car,539,770,427,721,651,820,0.5504,False
79,90,2,bicycle,154,795,106,764,203,827,0.3692,False
80,4,3,car,1604,765,1486,715,1723,816,0.7844,False
80,21,3,car,840,773,656,709,1025,837,0.6988,False
80,2,3,car,531,771,412,720,650,823,0.4802,False
80,90,2,bicycle,156,795,105,761,208,829,0.3872,False
80,85,3,car,992,773,863,720,1122,827,0.3933,False
81,4,3,car,1621,766,1506,718,1736,815,0.7502,False
81,21,3,car,875,774,689,710,1062,838,0.6511,False
81,2,3,car,518,771,400,721,637,822,0.3667,False
81,85,3,car,1011,774,883,721,1140,827,0.2594,False
82,4,3,car,1635,767,1518,718,1752,816,0.7607,False
82,21,3,car,915,773,723,708,1107,838,0.6351,False
82,2,3,car,506,773,386,723,626,823,0.5663,False
82,85,3,car,1043,772,922,722,1164,822,0.3241,False
83,4,3,car,1652,767,1535,719,1769,816,0.7717,False
83,21,3,car,928,772,737,708,1119,837,0.7155,False
83,2,3,car,489,774,368,724,610,825,0.5737,False
83,85,3,car,1062,771,945,723,1180,820,0.3341,False
83,1,3,car,648,777,534,729,763,825,0.6368,True
84,4,3,car,1668,768,1550,719,1786,817,0.7665,False
84,21,3,car,962,772,769,708,1156,837,0.6967,False
84,2,3,car,483,774,360,723,606,825,0.2924,False
84,85,3,car,1072,772,950,721,1195,824,0.3377,False
84,1,3,car,644,778,526,729,763,828,0.6825,False
84,90,2,bicycle,165,797,116,765,215,830,0.2766,False
85,4,3,car,1683,767,1563,718,1803,817,0.7561,False
85,21,3,car,959,773,771,710,1147,836,0.7469,False
85,2,3,car,467,773,344,723,590,824,0.6125,False
85,85,3,car,1093,772,975,723,1212,821,0.4298,False
85,1,3,car,631,779,511,730,752,828,0.7505,False
85,90,2,bicycle,170,793,114,755,227,831,0.3695,False
86,4,3,car,1697,768,1577,719,1818,818,0.7394,False
86,21,3,car,1005,771,808,705,1203,837,0.7267,False
86,2,3,car,454,773,332,723,576,824,0.5331,False
86,85,3,car,1107,776,983,725,1232,828,0.3062,False
86,1,3,car,616,779,495,730,738,829,0.7189,False
86,90,2,bicycle,175,800,126,767,225,833,0.3884,False
87,4,3,car,1712,769,1592,720,1832,819,0.5013,False
87,21,3,car,1029,771,830,705,1229,837,0.7508,False
87,2,3,car,435,771,315,721,556,822,0.4613,False
87,1,3,car,604,780,483,732,725,828,0.7874,False
87,90,2,bicycle,176,802,132,773,221,831,0.3321,False
87,96,2,bicycle,16,796,0,768,33,825,0.3361,False
88,4,3,car,1727,769,1609,720,1845,818,0.7113,False
88,21,3,car,1056,772,857,707,1255,837,0.7642,False
88,2,3,car,427,772,313,725,542,820,0.5094,False
88,1,3,car,590,779,469,732,711,827,0.7658,False
89,4,3,car,1747,769,1629,721,1865,817,0.6731,False
89,21,3,car,1074,773,878,709,1271,837,0.7612,False
89,2,3,car,416,773,308,728,525,818,0.4889,False
89,1,3,car,575,780,455,733,696,827,0.7532,False
89,90,2,bicycle,186,800,133,765,240,836,0.3660,False
90,4,3,car,1766,769,1648,721,1885,818,0.7063,False
90,21,3,car,1097,776,899,712,1295,840,0.7419,False
90,2,3,car,405,774,296,730,515,819,0.6395,False
90,1,3,car,559,779,436,732,682,827,0.6701,False
90,90,2,bicycle,191,802,143,771,240,834,0.3410,False
91,4,3,car,1784,769,1664,721,1904,818,0.6773,False
91,21,3,car,1114,774,917,711,1312,838,0.7666,False
91,2,3,car,408,773,305,731,511,816,0.5582,False
91,1,3,car,542,780,418,733,667,828,0.6905,False
91,90,2,bicycle,191,806,146,777,237,835,0.3565,False
91,102,3,car,329,795,274,763,385,828,0.3993,False
92,4,3,car,1790,770,1672,722,1908,818,0.6891,False
92,21,3,car,1135,774,939,712,1331,837,0.7556,False
92,2,3,car,394,773,291,730,498,817,0.4011,False
92,1,3,car,526,780,397,731,655,830,0.6858,False
93,4,3,car,1802,770,1685,722,1920,819,0.7266,False
93,21,3,car,1154,774,960,713,1348,836,0.7771,False
93,1,3,car,498,779,362,728,635,831,0.6729,False
94,4,3,car,1803,770,1694,724,1912,816,0.5750,False
94,21,3,car,1177,774,982,713,1372,836,0.7508,False
94,1,3,car,480,781,343,730,618,833,0.7065,False
95,4,3,car,1817,768,1714,724,1920,813,0.6928,False
95,21,3,car,1196,775,1002,714,1390,836,0.7800,False
95,1,3,car,463,781,325,730,602,833,0.6811,False
95,90,2,bicycle,198,795,143,759,254,832,0.4326,False
96,4,3,car,1823,768,1726,722,1920,815,0.6934,False
96,21,3,car,1217,774,1022,713,1413,836,0.7883,False
96,1,3,car,456,782,320,732,592,832,0.6613,False
97,4,3,car,1829,768,1738,722,1920,814,0.6073,False
97,21,3,car,1238,774,1042,713,1434,836,0.7752,False
97,1,3,car,444,782,311,733,578,831,0.6671,False
97,115,9,motor,668,787,636,763,701,811,0.4926,False
97,118,1,people,742,774,726,748,758,800,0.4165,False
97,120,9,motor,734,783,708,758,761,809,0.4721,False
97,2,3,car,296,783,178,734,414,833,0.5520,False
98,4,3,car,1836,768,1752,723,1920,813,0.6195,False
98,21,3,car,1258,775,1063,714,1453,836,0.8108,False
98,1,3,car,433,783,301,735,565,831,0.6830,False
